Symbol,Name,Exchange,instrument_key,industry,sector
BERLDRG,Beryl Drugs Ltd.,2,BSE_EQ|INE415H01017,Pharmaceuticals,Pharmaceuticals & Biotechnology
INDXTRA,IEL LIMITED,2,BSE_EQ|INE056E01024,Other Food Products,Food Products
ISTRNETWK,iStreet Network Limited,2,BSE_EQ|INE532B01020,Internet & Catalogue Retail,Retailing
GAGAN,Gagan Gases Ltd.,2,BSE_EQ|INE076D01016,Industrial Gases,Chemicals & Petrochemicals
PARKERAC,Parker Agro Chem Export Ltd.,2,BSE_EQ|INE750B01010,Trading & Distributors,Commercial Services & Supplies
SHUKRAPHAR,Shukra Pharmaceuticals Limited,2,BSE_EQ|INE551C01028,Pharmaceuticals,Pharmaceuticals & Biotechnology
ALUFLUOR,Alufluoride  Ltd.,2,BSE_EQ|INE058F01019,Commodity Chemicals,Chemicals & Petrochemicals
OXYGENTAPH,OXYGENTA PHARMACEUTICAL LIMITED,2,BSE_EQ|INE102E01018,Pharmaceuticals,Pharmaceuticals & Biotechnology
ARCHITORG,Archit Organosys Limited,2,BSE_EQ|INE078I01011,Commodity Chemicals,Chemicals & Petrochemicals
SIKOZY,Sikozy Realtors Limited,2,BSE_EQ|INE528E01022,Residential- Commercial Projects,Realty
INDOAMIN,Indo Amines Ltd.,2,BSE_EQ|INE760F01028,Specialty Chemicals,Chemicals & Petrochemicals
INDSWFTLTD,Ind-Swift Ltd.,2,BSE_EQ|INE788B01028,Pharmaceuticals,Pharmaceuticals & Biotechnology
NATCAPSUQ,Natural Capsules Ltd.,2,BSE_EQ|INE936B01015,Pharmaceuticals,Pharmaceuticals & Biotechnology
BIBCL,Bharat Immunologicals & Biologicals,2,BSE_EQ|INE994B01014,Pharmaceuticals,Pharmaceuticals & Biotechnology
SOTL,Savita Oil Technologies Limited,2,BSE_EQ|INE035D01020,Lubricants,Petroleum Products
HESTERBIO,Hester Biosciences Ltd,2,BSE_EQ|INE782E01017,Pharmaceuticals,Pharmaceuticals & Biotechnology
KABSON,Kabsons Industries Ltd.,2,BSE_EQ|INE645C01010,Trading & Distributors,Commercial Services & Supplies
BASANTGL,Basant Agro-Tech (India) Ltd.,2,BSE_EQ|INE473E01021,Fertilizers,Fertilizers & Agrochemicals
SANDUPHQ,Sandu Pharmaceuticals Ltd.,2,BSE_EQ|INE751D01014,Pharmaceuticals,Pharmaceuticals & Biotechnology
NACLIND,NACL Industries Limited,2,BSE_EQ|INE295D01020,Pesticides & Agrochemicals,Fertilizers & Agrochemicals
VISTAPH,Vista Pharmaceuticals Ltd.,2,BSE_EQ|INE427C01021,Pharmaceuticals,Pharmaceuticals & Biotechnology
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,2,BSE_EQ|INE044A01036,Pharmaceuticals,Pharmaceuticals & Biotechnology
